gisaid_name	lineage	county	collection_date	MMWRyear	MMWRweek
hCoV-19/USA/CA-CZB-1334/2020	A.1	Alameda County	2020-04-01	2020	14
hCoV-19/USA/CA-CZB-1330/2020	A.1	Alameda County	2020-04-02	2020	14
hCoV-19/USA/CA-CZB-1352/2020	A.1	Alameda County	2020-04-11	2020	15
hCoV-19/USA/CA-CZB-1353/2020	A.1	Alameda County	2020-04-11	2020	15
hCoV-19/USA/CA-CZB-1355/2020	A.1	Alameda County	2020-04-11	2020	15
hCoV-19/USA/CA-CZB-1356/2020	A.1	Alameda County	2020-04-12	2020	16
hCoV-19/USA/CA-CZB-1360/2020	A.1	Alameda County	2020-04-12	2020	16
hCoV-19/USA/CA-CZB-1391/2020	A.1	Alameda County	2020-04-18	2020	16
hCoV-19/USA/CA-CZB-13353/2020	A.1	Alameda County	2020-04-30	2020	18
hCoV-19/USA/CA-CZB-13098/2020	A.1	Alameda County	2020-05-12	2020	20
hCoV-19/USA/CA-CZB-11127/2020	A.1	Alameda County	2020-05-28	2020	22
hCoV-19/USA/CA-CZB-1326/2020	B	Alameda County	2020-03-22	2020	13
hCoV-19/USA/CA-CZB-1272/2020	B	Alameda County	2020-03-24	2020	13
hCoV-19/USA/CA-CZB-1343/2020	B	Alameda County	2020-04-08	2020	15
hCoV-19/USA/CA-CZB-1347/2020	B	Alameda County	2020-04-09	2020	15
hCoV-19/USA/CA-CZB-1348/2020	B	Alameda County	2020-04-10	2020	15
hCoV-19/USA/CA-CZB-1349/2020	B	Alameda County	2020-04-11	2020	15
hCoV-19/USA/CA-CZB-1359/2020	B	Alameda County	2020-04-12	2020	16
hCoV-19/USA/CA-CZB-1364/2020	B	Alameda County	2020-04-13	2020	16
hCoV-19/USA/CA-CZB-1276/2020	B	Alameda County	2020-04-16	2020	16
hCoV-19/USA/CA-CZB-1374/2020	B	Alameda County	2020-04-17	2020	16
hCoV-19/USA/CA-CZB-1393/2020	B	Alameda County	2020-04-18	2020	16
hCoV-19/USA/CA-CZB-1402/2020	B	Alameda County	2020-04-18	2020	16
hCoV-19/USA/CA-CZB-1400/2020	B	Alameda County	2020-04-19	2020	17
hCoV-19/USA/CA-CZB-1404/2020	B	Alameda County	2020-04-20	2020	17
hCoV-19/USA/CA-CZB-1407/2020	B	Alameda County	2020-04-20	2020	17
hCoV-19/USA/CA-CZB-1410/2020	B	Alameda County	2020-04-20	2020	17
hCoV-19/USA/CA-CZB-1411/2020	B	Alameda County	2020-04-20	2020	17
hCoV-19/USA/CA-CZB-1412/2020	B	Alameda County	2020-04-20	2020	17
hCoV-19/USA/CA-CZB-13091/2020	B	Alameda County	2020-05-08	2020	19
hCoV-19/USA/CA-CZB-13051/2020	B	Alameda County	2020-05-14	2020	20
hCoV-19/USA/CA-CZB-14004/2020	B	Alameda County	2020-06-08	2020	24
hCoV-19/USA/CA-CZB-1271/2020	B.1	Alameda County	2020-03-19	2020	12
hCoV-19/USA/CA-CZB-1369/2020	B.1	Alameda County	2020-04-13	2020	16
hCoV-19/USA/CA-CZB-13069/2020	B.1	Alameda County	2020-05-03	2020	19
hCoV-19/USA/CA-CZB-13376/2020	B.1	Alameda County	2020-05-13	2020	20
hCoV-19/USA/CA-CZB-13373/2020	B.1	Alameda County	2020-05-13	2020	20
hCoV-19/USA/CA-CZB-13375/2020	B.1	Alameda County	2020-05-13	2020	20
hCoV-19/USA/CA-CZB-13377/2020	B.1	Alameda County	2020-05-13	2020	20
hCoV-19/USA/CA-CZB-13047/2020	B.1	Alameda County	2020-05-15	2020	20
hCoV-19/USA/CA-CZB-13066/2020	B.1	Alameda County	2020-05-16	2020	20
hCoV-19/USA/CA-CZB-13365/2020	B.1	Alameda County	2020-05-20	2020	21
hCoV-19/USA/CA-CZB-13360/2020	B.1	Alameda County	2020-05-21	2020	21
hCoV-19/USA/CA-CZB-14100/2020	B.1	Alameda County	2020-05-25	2020	22
hCoV-19/USA/CA-CZB-14108/2020	B.1	Alameda County	2020-05-25	2020	22
hCoV-19/USA/CA-CZB-14113/2020	B.1	Alameda County	2020-05-25	2020	22
hCoV-19/USA/CA-CZB-14112/2020	B.1	Alameda County	2020-05-25	2020	22
hCoV-19/USA/CA-CZB-11116/2020	B.1	Alameda County	2020-05-29	2020	22
hCoV-19/USA/CA-CZB-11119/2020	B.1	Alameda County	2020-05-29	2020	22
hCoV-19/USA/CA-CZB-11104/2020	B.1	Alameda County	2020-05-31	2020	23
hCoV-19/USA/CA-CZB-11111/2020	B.1	Alameda County	2020-06-03	2020	23
hCoV-19/USA/CA-CZB-14016/2020	B.1	Alameda County	2020-06-07	2020	24
hCoV-19/USA/CA-CZB-13994/2020	B.1	Alameda County	2020-06-14	2020	25
hCoV-19/USA/CA-CZB-13976/2020	B.1	Alameda County	2020-06-18	2020	25
hCoV-19/USA/CA-CZB-13954/2020	B.1	Alameda County	2020-06-22	2020	26
hCoV-19/USA/CA-CZB-14085/2020	B.1	Alameda County	2020-06-23	2020	26
hCoV-19/USA/CA-CZB-14071/2020	B.1	Alameda County	2020-06-25	2020	26
hCoV-19/USA/CA-CZB-14063/2020	B.1	Alameda County	2020-06-26	2020	26
hCoV-19/USA/CA-CZB-14055/2020	B.1	Alameda County	2020-06-28	2020	27
hCoV-19/USA/CA-CZB-14406/2020	B.1	Alameda County	2020-06-30	2020	27
hCoV-19/USA/CA-CZB-14366/2020	B.1	Alameda County	2020-07-09	2020	28
hCoV-19/USA/CA-CZB-14018/2020	B.1	Alameda County	2020-07-11	2020	28
hCoV-19/USA/CA-CZB-14327/2020	B.1	Alameda County	2020-07-27	2020	31
hCoV-19/USA/CA-CZB-13935/2020	B.1	Alameda County	2020-07-31	2020	31
hCoV-19/USA/CA-CZB-13926/2020	B.1	Alameda County	2020-08-05	2020	32
hCoV-19/USA/CA-CZB-13920/2020	B.1	Alameda County	2020-08-06	2020	32
hCoV-19/USA/CA-CZB-13921/2020	B.1	Alameda County	2020-08-06	2020	32
hCoV-19/USA/CA-CZB-13914/2020	B.1	Alameda County	2020-08-06	2020	32
hCoV-19/USA/CA-CZB-13887/2020	B.1	Alameda County	2020-08-11	2020	33
hCoV-19/USA/CA-CZB-13884/2020	B.1	Alameda County	2020-08-11	2020	33
hCoV-19/USA/CA-CZB-13838/2020	B.1	Alameda County	2020-08-12	2020	33
hCoV-19/USA/CA-CZB-13828/2020	B.1	Alameda County	2020-08-14	2020	33
hCoV-19/USA/CA-CZB-13819/2020	B.1	Alameda County	2020-08-14	2020	33
hCoV-19/USA/CA-CZB-13800/2020	B.1	Alameda County	2020-08-14	2020	33
hCoV-19/USA/CA-CZB-13845/2020	B.1	Alameda County	2020-08-16	2020	34
hCoV-19/USA/CA-CZB-13853/2020	B.1	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13844/2020	B.1	Alameda County	2020-08-17	2020	34
hCoV-19/USA/CA-CZB-13813/2020	B.1	Alameda County	2020-08-19	2020	34
hCoV-19/USA/CA-CZB-14300/2020	B.1	Alameda County	2020-08-20	2020	34
hCoV-19/USA/CA-CZB-14310/2020	B.1	Alameda County	2020-08-22	2020	34
hCoV-19/USA/CA-CZB-14299/2020	B.1	Alameda County	2020-08-24	2020	35
hCoV-19/USA/CA-CZB-14248/2020	B.1	Alameda County	2020-08-25	2020	35
hCoV-19/USA/CA-CZB-14249/2020	B.1	Alameda County	2020-08-25	2020	35
hCoV-19/USA/CA-CZB-14279/2020	B.1	Alameda County	2020-08-27	2020	35
hCoV-19/USA/CA-CZB-14245/2020	B.1	Alameda County	2020-08-28	2020	35
hCoV-19/USA/CA-CZB-13396/2020	B.1	Alameda County	2020-09-01	2020	36
hCoV-19/USA/CA-CZB-13410/2020	B.1	Alameda County	2020-09-02	2020	36
hCoV-19/USA/CA-CZB-13422/2020	B.1	Alameda County	2020-09-03	2020	36
hCoV-19/USA/CA-CZB-13419/2020	B.1	Alameda County	2020-09-03	2020	36
hCoV-19/USA/CA-CZB-13425/2020	B.1	Alameda County	2020-09-03	2020	36
hCoV-19/USA/CA-CZB-13416/2020	B.1	Alameda County	2020-09-03	2020	36
hCoV-19/USA/CA-CZB-13737/2020	B.1	Alameda County	2020-09-09	2020	37
hCoV-19/USA/CA-CZB-13735/2020	B.1	Alameda County	2020-09-09	2020	37
hCoV-19/USA/CA-CZB-13749/2020	B.1	Alameda County	2020-09-14	2020	38
hCoV-19/USA/CA-CZB-14139/2020	B.1	Alameda County	2020-09-15	2020	38
hCoV-19/USA/CA-CZB-11191/2020	B.1	Alameda County	2020-09-16	2020	38
hCoV-19/USA/CA-CZB-13764/2020	B.1	Alameda County	2020-09-17	2020	38
hCoV-19/USA/CA-CZB-11868/2020	B.1	Alameda County	2020-09-18	2020	38
hCoV-19/USA/CA-CZB-13774/2020	B.1	Alameda County	2020-09-21	2020	39
hCoV-19/USA/CA-CZB-13785/2020	B.1	Alameda County	2020-09-22	2020	39
hCoV-19/USA/CA-CZB-13789/2020	B.1	Alameda County	2020-09-23	2020	39
hCoV-19/USA/CA-CZB-11859/2020	B.1	Alameda County	2020-10-04	2020	41
hCoV-19/USA/CA-CZB-14429/2020	B.1	Alameda County	2020-11-04	2020	45
hCoV-19/USA/CA-CZB-19441/2021	B.1	Alameda County	2021-01-04	2021	1
hCoV-19/USA/CA-CZB-19428/2021	B.1	Alameda County	2021-01-04	2021	1
hCoV-19/USA/CA-CZB-13948/2020	B.1.1.101	Alameda County	2020-06-22	2020	26
hCoV-19/USA/CA-CZB-14088/2020	B.1.1.101	Alameda County	2020-06-22	2020	26
hCoV-19/USA/CA-CZB-14413/2020	B.1.1.101	Alameda County	2020-07-06	2020	28
