county	lineage	collection_date	MMWRweek	count_in_MMWRweek
Alameda County	A.1	2020-04-01	14	1
Alameda County	A.1	2020-04-02	14	1
Alameda County	A.1	2020-04-11	15	3
Alameda County	A.1	2020-04-12	16	2
Alameda County	A.1	2020-04-18	16	1
Alameda County	A.1	2020-04-30	18	1
Alameda County	A.1	2020-05-12	20	1
Alameda County	A.1	2020-05-28	22	1
Alameda County	B	2020-03-22	13	1
Alameda County	B	2020-03-24	13	1
Alameda County	B	2020-04-08	15	1
Alameda County	B	2020-04-09	15	1
Alameda County	B	2020-04-10	15	1
Alameda County	B	2020-04-11	15	1
Alameda County	B	2020-04-12	16	1
Alameda County	B	2020-04-13	16	1
Alameda County	B	2020-04-16	16	1
Alameda County	B	2020-04-17	16	1
Alameda County	B	2020-04-18	16	2
Alameda County	B	2020-04-19	17	1
Alameda County	B	2020-04-20	17	5
Alameda County	B	2020-05-08	19	1
Alameda County	B	2020-05-14	20	1
Alameda County	B	2020-06-08	24	1
Alameda County	B.1	2020-03-19	12	1
Alameda County	B.1	2020-04-13	16	1
Alameda County	B.1	2020-05-03	19	1
Alameda County	B.1	2020-05-13	20	4
Alameda County	B.1	2020-05-15	20	1
Alameda County	B.1	2020-05-16	20	1
Alameda County	B.1	2020-05-20	21	1
Alameda County	B.1	2020-05-21	21	1
Alameda County	B.1	2020-05-25	22	4
Alameda County	B.1	2020-05-29	22	2
Alameda County	B.1	2020-05-31	23	1
Alameda County	B.1	2020-06-03	23	1
Alameda County	B.1	2020-06-07	24	1
Alameda County	B.1	2020-06-14	25	1
Alameda County	B.1	2020-06-18	25	1
Alameda County	B.1	2020-06-22	26	1
Alameda County	B.1	2020-06-23	26	1
Alameda County	B.1	2020-06-25	26	1
Alameda County	B.1	2020-06-26	26	1
Alameda County	B.1	2020-06-28	27	1
Alameda County	B.1	2020-06-30	27	1
Alameda County	B.1	2020-07-09	28	1
Alameda County	B.1	2020-07-11	28	1
Alameda County	B.1	2020-07-27	31	1
Alameda County	B.1	2020-07-31	31	1
Alameda County	B.1	2020-08-05	32	1
Alameda County	B.1	2020-08-06	32	3
Alameda County	B.1	2020-08-11	33	2
Alameda County	B.1	2020-08-12	33	1
Alameda County	B.1	2020-08-14	33	3
Alameda County	B.1	2020-08-16	34	1
Alameda County	B.1	2020-08-17	34	2
Alameda County	B.1	2020-08-19	34	1
Alameda County	B.1	2020-08-20	34	1
Alameda County	B.1	2020-08-22	34	1
Alameda County	B.1	2020-08-24	35	1
Alameda County	B.1	2020-08-25	35	2
Alameda County	B.1	2020-08-27	35	1
Alameda County	B.1	2020-08-28	35	1
Alameda County	B.1	2020-09-01	36	1
Alameda County	B.1	2020-09-02	36	1
Alameda County	B.1	2020-09-03	36	4
Alameda County	B.1	2020-09-09	37	2
Alameda County	B.1	2020-09-14	38	1
Alameda County	B.1	2020-09-15	38	1
Alameda County	B.1	2020-09-16	38	1
Alameda County	B.1	2020-09-17	38	1
Alameda County	B.1	2020-09-18	38	1
Alameda County	B.1	2020-09-21	39	1
Alameda County	B.1	2020-09-22	39	1
Alameda County	B.1	2020-09-23	39	1
Alameda County	B.1	2020-10-04	41	1
Alameda County	B.1	2020-11-04	45	1
Alameda County	B.1	2021-01-04	1	2
Alameda County	B.1.1.101	2020-06-22	26	2
Alameda County	B.1.1.101	2020-07-06	28	1
Alameda County	B.1.1.101	2020-07-09	28	1
Alameda County	B.1.1.109	2020-05-21	21	1
Alameda County	B.1.1.127	2020-06-22	26	1
Alameda County	B.1.1.127	2020-06-25	26	2
Alameda County	B.1.1.128	2020-06-28	27	1
Alameda County	B.1.1.128	2020-08-10	33	1
Alameda County	B.1.1.128	2020-08-28	35	1
Alameda County	B.1.1.130	2020-08-14	33	1
Alameda County	B.1.1.162	2020-06-14	25	1
Alameda County	B.1.1.174	2020-06-21	26	1
Alameda County	B.1.1.174	2020-06-22	26	1
Alameda County	B.1.1.174	2020-06-23	26	2
Alameda County	B.1.1.174	2020-08-07	32	1
Alameda County	B.1.1.174	2020-08-10	33	1
Alameda County	B.1.1.186	2020-09-18	38	1
Alameda County	B.1.1.186	2020-09-23	39	1
Alameda County	B.1.1.205	2020-05-27	22	1
Alameda County	B.1.1.205	2020-05-30	22	1
Alameda County	B.1.1.205	2020-06-10	24	1
Alameda County	B.1.1.205	2020-06-18	25	1
Alameda County	B.1.1.205	2020-07-01	27	1
Alameda County	B.1.1.205	2020-09-24	39	1
Alameda County	B.1.1.205	2020-10-03	40	1
Alameda County	B.1.1.216	2020-08-12	33	1
Alameda County	B.1.1.216	2020-08-17	34	11
Alameda County	B.1.1.216	2020-08-18	34	1
Alameda County	B.1.1.216	2020-08-22	34	2
Alameda County	B.1.1.216	2020-09-01	36	1
Alameda County	B.1.1.216	2020-09-02	36	1
Alameda County	B.1.1.216	2020-09-03	36	1
