,county,lineage,collection_date,count
0,Alameda County,A.1,2020-04-06,2
1,Alameda County,A.1,2020-04-13,5
2,Alameda County,A.1,2020-04-20,1
3,Alameda County,A.1,2020-05-04,1
4,Alameda County,A.1,2020-05-18,1
5,Alameda County,A.1,2020-06-01,1
6,Alameda County,B,2020-03-23,1
7,Alameda County,B,2020-03-30,1
8,Alameda County,B,2020-04-13,6
9,Alameda County,B,2020-04-20,12
10,Alameda County,B,2020-05-11,1
11,Alameda County,B,2020-05-18,1
12,Alameda County,B,2020-06-08,1
13,Alameda County,B.1,2020-03-23,1
14,Alameda County,B.1,2020-04-13,1
15,Alameda County,B.1,2020-05-04,6
16,Alameda County,B.1,2020-05-11,3
17,Alameda County,B.1,2020-05-18,7
18,Alameda County,B.1,2020-05-25,6
19,Alameda County,B.1,2020-06-01,3
20,Alameda County,B.1,2020-06-08,2
21,Alameda County,B.1,2020-06-15,1
22,Alameda County,B.1,2020-06-22,2
23,Alameda County,B.1,2020-06-29,4
24,Alameda County,B.1,2020-07-06,1
25,Alameda County,B.1,2020-07-13,2
26,Alameda County,B.1,2020-07-20,1
27,Alameda County,B.1,2020-07-27,1
28,Alameda County,B.1,2020-08-03,1
29,Alameda County,B.1,2020-08-10,3
30,Alameda County,B.1,2020-08-17,9
31,Alameda County,B.1,2020-08-24,4
32,Alameda County,B.1,2020-08-31,4
33,Alameda County,B.1,2020-09-07,5
34,Alameda County,B.1,2020-09-14,3
35,Alameda County,B.1,2020-09-21,5
36,Alameda County,B.1,2020-09-28,2
37,Alameda County,B.1,2020-10-05,1
38,Alameda County,B.1,2020-11-09,1
39,Alameda County,B.1.1.101,2020-06-22,2
40,Alameda County,B.1.1.101,2020-07-06,1
41,Alameda County,B.1.1.101,2020-07-13,1
42,Alameda County,B.1.1.109,2020-05-25,1
43,Alameda County,B.1.1.119,2020-04-20,1
44,Alameda County,B.1.1.119,2020-05-11,1
45,Alameda County,B.1.1.119,2020-05-18,3
46,Alameda County,B.1.1.119,2020-05-25,8
47,Alameda County,B.1.1.119,2020-06-01,10
48,Alameda County,B.1.1.119,2020-06-08,1
49,Alameda County,B.1.1.119,2020-06-22,10
50,Alameda County,B.1.1.119,2020-06-29,4
51,Alameda County,B.1.1.119,2020-07-06,2
52,Alameda County,B.1.1.119,2020-07-13,7
53,Alameda County,B.1.1.119,2020-07-20,5
54,Alameda County,B.1.1.119,2020-08-10,1
55,Alameda County,B.1.1.119,2020-08-17,16
56,Alameda County,B.1.1.119,2020-08-24,8
57,Alameda County,B.1.1.119,2020-08-31,3
58,Alameda County,B.1.1.119,2020-09-07,6
59,Alameda County,B.1.1.119,2020-09-14,4
60,Alameda County,B.1.1.119,2020-10-05,1
61,Alameda County,B.1.1.127,2020-06-22,1
62,Alameda County,B.1.1.127,2020-06-29,2
63,Alameda County,B.1.1.128,2020-06-29,1
64,Alameda County,B.1.1.128,2020-08-10,1
65,Alameda County,B.1.1.128,2020-08-31,1
66,Alameda County,B.1.1.130,2020-08-17,1
67,Alameda County,B.1.1.147,2020-08-10,1
68,Alameda County,B.1.1.159,2020-06-15,1
69,Alameda County,B.1.1.174,2020-06-22,2
70,Alameda County,B.1.1.174,2020-06-29,2
71,Alameda County,B.1.1.174,2020-08-10,2
72,Alameda County,B.1.1.186,2020-09-21,1
73,Alameda County,B.1.1.186,2020-09-28,1
74,Alameda County,B.1.1.205,2020-06-01,2
75,Alameda County,B.1.1.205,2020-06-15,1
76,Alameda County,B.1.1.205,2020-06-22,1
77,Alameda County,B.1.1.205,2020-07-06,1
78,Alameda County,B.1.1.205,2020-09-28,1
79,Alameda County,B.1.1.205,2020-10-05,1
80,Alameda County,B.1.1.208,2020-06-01,1
81,Alameda County,B.1.1.208,2020-07-27,1
82,Alameda County,B.1.1.222,2020-09-14,1
83,Alameda County,B.1.1.222,2020-11-09,1
84,Alameda County,B.1.1.226,2020-08-03,1
85,Alameda County,B.1.1.226,2020-09-14,1
86,Alameda County,B.1.1.228,2020-07-27,1
87,Alameda County,B.1.1.239,2020-08-03,1
88,Alameda County,B.1.1.282,2020-06-15,1
89,Alameda County,B.1.1.287,2020-06-29,1
90,Alameda County,B.1.1.29,2020-08-17,1
91,Alameda County,B.1.1.294,2020-08-24,1
92,Alameda County,B.1.1.300,2020-06-29,1
93,Alameda County,B.1.1.54,2020-08-03,1
94,Alameda County,B.1.1.64,2020-08-17,1
95,Alameda County,B.1.110,2020-04-13,3
96,Alameda County,B.1.110,2020-04-20,1
97,Alameda County,B.1.110,2020-05-04,1
98,Alameda County,B.1.110,2020-05-11,2
99,Alameda County,B.1.110,2020-05-18,1
100,Alameda County,B.1.110,2020-06-01,1
101,Alameda County,B.1.110,2020-06-08,1
102,Alameda County,B.1.166,2020-04-13,1
103,Alameda County,B.1.166,2020-05-04,1
104,Alameda County,B.1.166,2020-05-11,1
105,Alameda County,B.1.166,2020-05-18,3
106,Alameda County,B.1.2,2020-07-13,2
107,Alameda County,B.1.2,2020-08-17,1
108,Alameda County,B.1.2,2020-08-24,1
109,Alameda County,B.1.2,2020-08-31,3
110,Alameda County,B.1.2,2020-09-07,1
111,Alameda County,B.1.2,2020-09-14,1
112,Alameda County,B.1.2,2020-09-21,1
113,Alameda County,B.1.2,2020-11-09,6
114,Alameda County,B.1.206,2020-09-07,1
115,Alameda County,B.1.234,2020-10-05,1
116,Alameda County,B.1.239,2020-08-10,2
117,Alameda County,B.1.239,2020-08-17,1
118,Alameda County,B.1.239,2020-09-14,1
119,Alameda County,B.1.239,2020-10-05,1
120,Alameda County,B.1.240,2020-07-13,1
121,Alameda County,B.1.241,2020-08-10,1
122,Alameda County,B.1.241,2020-08-24,2
123,Alameda County,B.1.241,2020-08-31,2
124,Alameda County,B.1.243,2020-06-22,3
125,Alameda County,B.1.243,2020-06-29,1
126,Alameda County,B.1.243,2020-07-06,1
127,Alameda County,B.1.243,2020-07-13,2
128,Alameda County,B.1.243,2020-07-20,2
129,Alameda County,B.1.243,2020-07-27,2
130,Alameda County,B.1.243,2020-08-03,1
131,Alameda County,B.1.243,2020-08-10,7
132,Alameda County,B.1.243,2020-08-17,11
133,Alameda County,B.1.243,2020-08-24,6
134,Alameda County,B.1.243,2020-08-31,3
135,Alameda County,B.1.243,2020-09-07,5
136,Alameda County,B.1.243,2020-09-14,8
137,Alameda County,B.1.243,2020-09-21,27
138,Alameda County,B.1.243,2020-09-28,2
139,Alameda County,B.1.243,2020-10-05,5
140,Alameda County,B.1.243,2020-11-09,1
141,Alameda County,B.1.320,2020-05-04,1
142,Alameda County,B.1.320,2020-05-11,2
143,Alameda County,B.1.320,2020-05-18,1
144,Alameda County,B.1.320,2020-05-25,1
145,Alameda County,B.1.320,2020-06-01,2
146,Alameda County,B.1.320,2020-06-15,2
147,Alameda County,B.1.320,2020-06-22,7
148,Alameda County,B.1.320,2020-06-29,5
149,Alameda County,B.1.320,2020-07-06,1
150,Alameda County,B.1.320,2020-07-13,5
151,Alameda County,B.1.320,2020-08-31,1
152,Alameda County,B.1.336,2020-08-17,1
153,Alameda County,B.1.343,2020-06-29,2
154,Alameda County,B.1.36,2020-10-05,1
155,Alameda County,B.1.361,2020-07-20,1
156,Alameda County,B.1.361,2020-08-17,1
157,Alameda County,B.1.361,2020-08-24,1
158,Alameda County,B.1.363,2020-07-13,1
159,Alameda County,B.1.369,2020-06-22,2
160,Alameda County,B.1.369,2020-06-29,1
161,Alameda County,B.1.369,2020-07-13,4
162,Alameda County,B.1.369,2020-07-20,1
163,Alameda County,B.1.369,2020-07-27,1
164,Alameda County,B.1.369,2020-08-17,1
165,Alameda County,B.1.369,2020-09-07,2
166,Alameda County,B.1.369,2020-09-14,2
167,Alameda County,B.1.369,2020-09-21,2
168,Alameda County,B.1.369,2020-09-28,1
169,Alameda County,B.1.369,2020-10-05,1
170,Alameda County,B.1.390,2020-06-29,1
171,Alameda County,B.1.397,2020-08-17,1
172,Alameda County,B.1.397,2020-08-24,1
173,Alameda County,B.1.400,2020-08-10,1
174,Alameda County,B.1.402,2020-08-10,2
175,Alameda County,B.1.402,2020-08-31,2
176,Alameda County,B.1.403,2020-08-17,1
177,Alameda County,B.1.403,2020-08-31,3
178,Alameda County,B.1.403,2020-09-28,1
179,Alameda County,B.1.404,2020-09-28,1
180,Alameda County,B.1.452,2020-07-13,2
181,Alameda County,B.1.453,2020-04-20,3
182,Alameda County,B.1.453,2020-05-04,8
183,Alameda County,B.1.453,2020-05-11,6
184,Alameda County,B.1.453,2020-05-18,17
185,Alameda County,B.1.453,2020-05-25,8
186,Alameda County,B.1.453,2020-06-01,13
187,Alameda County,B.1.453,2020-06-08,3
188,Alameda County,B.1.453,2020-06-15,2
189,Alameda County,B.1.453,2020-06-22,7
190,Alameda County,B.1.453,2020-06-29,12
191,Alameda County,B.1.453,2020-07-06,1
192,Alameda County,B.1.453,2020-07-13,1
193,Alameda County,B.1.453,2020-07-20,1
194,Alameda County,B.1.453,2020-08-17,1
195,Alameda County,B.1.453,2020-09-28,1
196,Alameda County,B.1.503,2020-04-20,2
197,Alameda County,B.1.503,2020-05-04,1
198,Alameda County,B.1.503,2020-05-11,5
199,Alameda County,B.1.503,2020-05-18,4
200,Alameda County,B.1.503,2020-05-25,4
201,Alameda County,B.1.503,2020-06-01,3
202,Alameda County,B.1.503,2020-06-22,4
203,Alameda County,B.1.503,2020-06-29,1
204,Alameda County,B.1.508,2020-08-10,1
205,Alameda County,B.40,2020-03-23,2
206,Contra Costa County,A.1,2020-03-30,1
207,Contra Costa County,A.1,2020-04-06,1
208,Contra Costa County,B,2020-03-30,1
209,Contra Costa County,B,2020-04-06,1
210,Contra Costa County,B.1,2020-03-30,1
211,Contra Costa County,B.1,2020-04-06,4
212,Contra Costa County,B.1,2020-04-13,2
213,Contra Costa County,B.1,2020-05-18,2
214,Contra Costa County,B.1,2020-07-27,3
215,Contra Costa County,B.1,2020-08-03,1
216,Contra Costa County,B.1.1.119,2020-03-30,1
217,Contra Costa County,B.1.1.119,2020-07-27,7
218,Contra Costa County,B.1.1.119,2020-08-03,2
219,Contra Costa County,B.1.1.158,2020-07-27,1
220,Contra Costa County,B.1.1.158,2020-08-03,1
221,Contra Costa County,B.1.1.159,2020-08-03,1
222,Contra Costa County,B.1.1.244,2020-08-03,3
223,Contra Costa County,B.1.1.269,2020-07-27,1
224,Contra Costa County,B.1.240,2020-08-03,3
225,Contra Costa County,B.1.243,2020-07-27,5
226,Contra Costa County,B.1.243,2020-08-03,2
227,Contra Costa County,B.1.243,2020-08-10,1
228,Contra Costa County,B.1.243,2020-08-24,1
229,Contra Costa County,B.1.243,2020-09-14,1
230,Contra Costa County,B.1.320,2020-03-30,1
231,Contra Costa County,B.1.320,2020-04-06,25
232,Contra Costa County,B.1.320,2020-04-13,2
233,Contra Costa County,B.1.336,2020-07-27,4
234,Contra Costa County,B.1.336,2020-08-03,1
235,Contra Costa County,B.1.36,2020-07-27,1
236,Contra Costa County,B.1.369,2020-08-03,3
237,Contra Costa County,B.1.399,2020-07-27,1
238,Contra Costa County,B.1.400,2020-08-10,1
239,Fresno County,B.1,2020-09-28,1
240,Fresno County,B.1.402,2020-09-07,1
241,Fresno County,B.1.402,2020-09-14,1
242,Humboldt County,A.1,2020-03-30,4
243,Humboldt County,A.1,2020-06-01,1
244,Humboldt County,A.3,2020-04-06,5
245,Humboldt County,A.3,2020-04-13,1
246,Humboldt County,B,2020-04-06,1
247,Humboldt County,B.1,2020-03-30,7
248,Humboldt County,B.1,2020-04-06,2
249,Humboldt County,B.1,2020-04-20,1
250,Humboldt County,B.1,2020-05-18,7
251,Humboldt County,B.1,2020-06-01,1
252,Humboldt County,B.1,2020-07-13,1
253,Humboldt County,B.1,2020-07-20,3
254,Humboldt County,B.1,2020-07-27,1
255,Humboldt County,B.1,2020-08-31,1
256,Humboldt County,B.1,2020-10-05,2
257,Humboldt County,B.1,2020-10-12,5
258,Humboldt County,B.1,2020-10-19,2
259,Humboldt County,B.1,2020-10-26,1
260,Humboldt County,B.1,2020-11-16,1
261,Humboldt County,B.1.1.10,2020-03-23,1
262,Humboldt County,B.1.1.10,2020-03-30,5
263,Humboldt County,B.1.1.119,2020-07-27,1
