,sample,collection_date,county,lineage
50,USA/CA-CZB-10198/2020,2020-05-12 00:00:00,Santa Clara County,B.1.503
51,USA/CA-CZB-10199/2020,2020-06-18 00:00:00,Santa Clara County,B.1
52,USA/CA-CZB-10202/2020,2020-05-11 00:00:00,Santa Clara County,B.1.1.119
53,USA/CA-CZB-10211/2020,2020-05-13 00:00:00,Santa Clara County,B.1.452
54,USA/CA-CZB-10212/2020,2020-05-11 00:00:00,Santa Clara County,B.1
55,USA/CA-CZB-10218/2020,2020-05-12 00:00:00,Santa Clara County,B.1.1.113
56,USA/CA-CZB-10220/2020,2020-05-11 00:00:00,Santa Clara County,B.1.1.113
57,USA/CA-CZB-10221/2020,2020-05-13 00:00:00,Santa Clara County,B.1.452
58,USA/CA-CZB-10225/2020,2020-05-16 00:00:00,Santa Clara County,B.1.1.205
59,USA/CA-CZB-10227/2020,2020-05-16 00:00:00,Santa Clara County,B.1
60,USA/CA-CZB-10228/2020,2020-05-18 00:00:00,Santa Clara County,B.1
61,USA/CA-CZB-10230/2020,2020-05-18 00:00:00,Santa Clara County,B.1
62,USA/CA-CZB-10232/2020,2020-05-16 00:00:00,Santa Clara County,B.1.503
63,USA/CA-CZB-10234/2020,2020-05-17 00:00:00,Santa Clara County,B.1.452
64,USA/CA-CZB-10236/2020,2020-05-17 00:00:00,Santa Clara County,B.1.452
65,USA/CA-CZB-10242/2020,2020-05-16 00:00:00,Santa Clara County,B.1.452
66,USA/CA-CZB-10245/2020,2020-05-20 00:00:00,Santa Clara County,B.1.1.205
67,USA/CA-CZB-10250/2020,2020-05-18 00:00:00,Santa Clara County,B.1.452
68,USA/CA-CZB-10251/2020,2020-05-19 00:00:00,Santa Clara County,B.1.452
69,USA/CA-CZB-10252/2020,2020-05-19 00:00:00,Santa Clara County,B.1.452
70,USA/CA-CZB-10253/2020,2020-07-09 00:00:00,Santa Clara County,B.1.452
71,USA/CA-CZB-14629/2020,2020-11-10 00:00:00,San Francisco County,B.1.1.216
72,USA/CA-CZB-10534/2020,2020-09-07 00:00:00,San Francisco County,B.1.243
508,USA/CA-CZB-1761/2020,2020-05-05 00:00:00,Santa Clara County,B.1
509,USA/CA-CZB-1762/2020,2020-05-05 00:00:00,Santa Clara County,A.1
510,USA/CA-CZB-1763/2020,2020-05-05 00:00:00,Santa Clara County,B
511,USA/CA-CZB-1764/2020,2020-05-05 00:00:00,Santa Clara County,A.1
512,USA/CA-CZB-1413/2020,2020-03-13 00:00:00,San Luis Obispo County,B.1.320
513,USA/CA-CZB-1414/2020,2020-03-16 00:00:00,San Luis Obispo County,B.1.163
514,USA/CA-CZB-1415/2020,2020-03-15 00:00:00,San Luis Obispo County,B.1
515,USA/CA-CZB-1417/2020,2020-03-19 00:00:00,San Luis Obispo County,B.1
516,USA/CA-CZB-1418/2020,2020-03-17 00:00:00,San Luis Obispo County,B.1.320
517,USA/CA-CZB-1420/2020,2020-03-17 00:00:00,San Luis Obispo County,B.1.320
518,USA/CA-CZB-1421/2020,2020-03-20 00:00:00,San Luis Obispo County,B.1.314
519,USA/CA-CZB-1423/2020,2020-03-20 00:00:00,San Luis Obispo County,B.1.110
520,USA/CA-CZB-1424/2020,2020-03-20 00:00:00,San Luis Obispo County,B.1.110
521,USA/CA-CZB-1425/2020,2020-03-20 00:00:00,San Luis Obispo County,B.1.314
522,USA/CA-CZB-1427/2020,2020-03-21 00:00:00,San Luis Obispo County,B.1.314
